epoch,loss,mae
1.000000000000000000e+00,2.601219117641448975e-01,4.928673803806304932e-01
2.000000000000000000e+00,2.616556882858276367e-01,4.837372899055480957e-01
3.000000000000000000e+00,2.554555535316467285e-01,4.824343323707580566e-01
4.000000000000000000e+00,2.406595498323440552e-01,4.794806540012359619e-01
5.000000000000000000e+00,2.355431318283081055e-01,4.780367314815521240e-01
6.000000000000000000e+00,2.334999591112136841e-01,4.761392474174499512e-01
7.000000000000000000e+00,2.310696095228195190e-01,4.740392267704010010e-01
8.000000000000000000e+00,2.289065867662429810e-01,4.718214869499206543e-01
9.000000000000000000e+00,2.266876250505447388e-01,4.691275060176849365e-01
1.000000000000000000e+01,2.245150506496429443e-01,4.663074612617492676e-01
1.100000000000000000e+01,2.226707190275192261e-01,4.637775421142578125e-01
1.200000000000000000e+01,2.209249436855316162e-01,4.612644314765930176e-01
1.300000000000000000e+01,2.189838588237762451e-01,4.586159288883209229e-01
1.400000000000000000e+01,2.168827354907989502e-01,4.558088183403015137e-01
1.500000000000000000e+01,2.147700339555740356e-01,4.535063803195953369e-01
1.600000000000000000e+01,2.126165926456451416e-01,4.495837092399597168e-01
1.700000000000000000e+01,2.105587273836135864e-01,4.461119771003723145e-01
1.800000000000000000e+01,2.084536105394363403e-01,4.427273273468017578e-01
1.900000000000000000e+01,2.062585353851318359e-01,4.393768906593322754e-01
2.000000000000000000e+01,2.039685696363449097e-01,4.360620379447937012e-01
2.100000000000000000e+01,2.015904486179351807e-01,4.327636659145355225e-01
2.200000000000000000e+01,1.991526186466217041e-01,4.294687807559967041e-01
2.300000000000000000e+01,1.966713815927505493e-01,4.261345863342285156e-01
2.400000000000000000e+01,1.941688656806945801e-01,4.228053092956542969e-01
2.500000000000000000e+01,1.916109770536422729e-01,4.191930890083312988e-01
2.600000000000000000e+01,1.890392601490020752e-01,4.154197275638580322e-01
2.700000000000000000e+01,1.864864528179168701e-01,4.119247794151306152e-01
2.800000000000000000e+01,1.838710904121398926e-01,4.085870683193206787e-01
2.900000000000000000e+01,1.812472790479660034e-01,4.053269922733306885e-01
3.000000000000000000e+01,1.786653101444244385e-01,4.020490050315856934e-01
3.100000000000000000e+01,1.760444045066833496e-01,3.976021707057952881e-01
3.200000000000000000e+01,1.734081506729125977e-01,3.930741250514984131e-01
3.300000000000000000e+01,1.707231253385543823e-01,3.888823986053466797e-01
3.400000000000000000e+01,1.680383980274200439e-01,3.849991261959075928e-01
3.500000000000000000e+01,1.653636693954467773e-01,3.807262778282165527e-01
3.600000000000000000e+01,1.626527011394500732e-01,3.772429525852203369e-01
3.700000000000000000e+01,1.599438339471817017e-01,3.736656904220581055e-01
3.800000000000000000e+01,1.571385860443115234e-01,3.682673573493957520e-01
3.900000000000000000e+01,1.543646156787872314e-01,3.626149594783782959e-01
4.000000000000000000e+01,1.514660120010375977e-01,3.581105172634124756e-01
4.100000000000000000e+01,1.485014408826828003e-01,3.542791008949279785e-01
4.200000000000000000e+01,1.455169469118118286e-01,3.487057089805603027e-01
4.300000000000000000e+01,1.428117305040359497e-01,3.442845940589904785e-01
4.400000000000000000e+01,1.402198225259780884e-01,3.412013053894042969e-01
4.500000000000000000e+01,1.377126723527908325e-01,3.364866077899932861e-01
4.600000000000000000e+01,1.351239234209060669e-01,3.301206827163696289e-01
4.700000000000000000e+01,1.324263811111450195e-01,3.281716704368591309e-01
4.800000000000000000e+01,1.299889981746673584e-01,3.244095444679260254e-01
4.900000000000000000e+01,1.273655593395233154e-01,3.180141448974609375e-01
5.000000000000000000e+01,1.247293502092361450e-01,3.127080798149108887e-01
5.100000000000000000e+01,1.221885234117507935e-01,3.088471889495849609e-01
5.200000000000000000e+01,1.196835264563560486e-01,3.040180802345275879e-01
5.300000000000000000e+01,1.172548085451126099e-01,2.987270951271057129e-01
5.400000000000000000e+01,1.151125282049179077e-01,2.968269288539886475e-01
5.500000000000000000e+01,1.128619536757469177e-01,2.949341237545013428e-01
5.600000000000000000e+01,1.102429851889610291e-01,2.897304594516754150e-01
5.700000000000000000e+01,1.075547933578491211e-01,2.826021909713745117e-01
5.800000000000000000e+01,1.053539961576461792e-01,2.778925001621246338e-01
5.900000000000000000e+01,1.030394881963729858e-01,2.740107178688049316e-01
6.000000000000000000e+01,1.023164838552474976e-01,2.718043625354766846e-01
6.100000000000000000e+01,1.010159477591514587e-01,2.676664292812347412e-01
6.200000000000000000e+01,9.710510820150375366e-02,2.611266672611236572e-01
6.300000000000000000e+01,9.665779024362564087e-02,2.626049518585205078e-01
6.400000000000000000e+01,9.395559132099151611e-02,2.568145394325256348e-01
6.500000000000000000e+01,9.230801463127136230e-02,2.537184059619903564e-01
6.600000000000000000e+01,8.985140174627304077e-02,2.525554001331329346e-01
6.700000000000000000e+01,8.830559998750686646e-02,2.526949942111968994e-01
6.800000000000000000e+01,8.652481436729431152e-02,2.495957165956497192e-01
6.900000000000000000e+01,8.439490944147109985e-02,2.411687821149826050e-01
7.000000000000000000e+01,8.306668698787689209e-02,2.383256405591964722e-01
7.100000000000000000e+01,8.104993402957916260e-02,2.375201731920242310e-01
7.200000000000000000e+01,7.915500551462173462e-02,2.365222424268722534e-01
7.300000000000000000e+01,7.800833135843276978e-02,2.341045886278152466e-01
7.400000000000000000e+01,7.678258419036865234e-02,2.284491509199142456e-01
7.500000000000000000e+01,7.493674755096435547e-02,2.238104790449142456e-01
7.600000000000000000e+01,7.392132282257080078e-02,2.212826907634735107e-01
7.700000000000000000e+01,7.230944931507110596e-02,2.187163531780242920e-01
7.800000000000000000e+01,7.103119045495986938e-02,2.205323725938796997e-01
7.900000000000000000e+01,6.979493796825408936e-02,2.193816006183624268e-01
8.000000000000000000e+01,6.904344260692596436e-02,2.160948812961578369e-01
8.100000000000000000e+01,6.769039481878280640e-02,2.144017517566680908e-01
8.200000000000000000e+01,6.639967858791351318e-02,2.075951099395751953e-01
8.300000000000000000e+01,6.535379588603973389e-02,2.048513889312744141e-01
8.400000000000000000e+01,6.404794007539749146e-02,2.057150900363922119e-01
8.500000000000000000e+01,6.299965828657150269e-02,2.049305438995361328e-01
8.600000000000000000e+01,6.194673106074333191e-02,2.010231018066406250e-01
8.700000000000000000e+01,6.095424294471740723e-02,2.000233381986618042e-01
8.800000000000000000e+01,5.971910804510116577e-02,1.964711844921112061e-01
8.900000000000000000e+01,5.890549346804618835e-02,1.988926678895950317e-01
9.000000000000000000e+01,5.754885077476501465e-02,1.936416327953338623e-01
9.100000000000000000e+01,5.679516121745109558e-02,1.922935545444488525e-01
9.200000000000000000e+01,5.584177374839782715e-02,1.889266669750213623e-01
9.300000000000000000e+01,5.499508231878280640e-02,1.865214407444000244e-01
9.400000000000000000e+01,5.429835245013237000e-02,1.859017610549926758e-01
9.500000000000000000e+01,5.348362773656845093e-02,1.808552294969558716e-01
9.600000000000000000e+01,5.261660367250442505e-02,1.843129843473434448e-01
9.700000000000000000e+01,5.272567272186279297e-02,1.912590265274047852e-01
9.800000000000000000e+01,5.232315510511398315e-02,1.815610975027084351e-01
9.900000000000000000e+01,5.281521752476692200e-02,1.717121899127960205e-01
1.000000000000000000e+02,5.186309665441513062e-02,1.678429543972015381e-01
1.010000000000000000e+02,5.023580789566040039e-02,1.702712327241897583e-01
1.020000000000000000e+02,4.912095144391059875e-02,1.753107607364654541e-01
1.030000000000000000e+02,5.169049650430679321e-02,1.833203732967376709e-01
1.040000000000000000e+02,4.957746714353561401e-02,1.708561182022094727e-01
1.050000000000000000e+02,4.882694408297538757e-02,1.617395579814910889e-01
1.060000000000000000e+02,4.820905253291130066e-02,1.578005254268646240e-01
1.070000000000000000e+02,4.832457751035690308e-02,1.578465253114700317e-01
1.080000000000000000e+02,4.638180136680603027e-02,1.576780527830123901e-01
1.090000000000000000e+02,4.633769765496253967e-02,1.673555076122283936e-01
1.100000000000000000e+02,4.445940256118774414e-02,1.626184284687042236e-01
1.110000000000000000e+02,4.446406289935112000e-02,1.606160700321197510e-01
1.120000000000000000e+02,4.329352825880050659e-02,1.605080962181091309e-01
1.130000000000000000e+02,4.313516616821289062e-02,1.608714759349822998e-01
1.140000000000000000e+02,4.199464991688728333e-02,1.590262949466705322e-01
1.150000000000000000e+02,4.161011055111885071e-02,1.582043915987014771e-01
1.160000000000000000e+02,4.073380306363105774e-02,1.579418480396270752e-01
1.170000000000000000e+02,4.028948396444320679e-02,1.610728204250335693e-01
1.180000000000000000e+02,3.937404602766036987e-02,1.624109297990798950e-01
1.190000000000000000e+02,3.922962024807929993e-02,1.611947268247604370e-01
1.200000000000000000e+02,3.815354034304618835e-02,1.576333343982696533e-01
1.210000000000000000e+02,3.799822926521301270e-02,1.561254858970642090e-01
1.220000000000000000e+02,3.705048561096191406e-02,1.544136703014373779e-01
1.230000000000000000e+02,3.677830100059509277e-02,1.526866257190704346e-01
1.240000000000000000e+02,3.602456673979759216e-02,1.505303382873535156e-01
1.250000000000000000e+02,3.574148193001747131e-02,1.501829326152801514e-01
1.260000000000000000e+02,3.505419567227363586e-02,1.466977894306182861e-01
1.270000000000000000e+02,3.463663905858993530e-02,1.466458737850189209e-01
1.280000000000000000e+02,3.408045321702957153e-02,1.436549723148345947e-01
1.290000000000000000e+02,3.375636786222457886e-02,1.429478675127029419e-01
1.300000000000000000e+02,3.337517380714416504e-02,1.398525238037109375e-01
1.310000000000000000e+02,3.298587352037429810e-02,1.420205533504486084e-01
1.320000000000000000e+02,3.255902975797653198e-02,1.414355933666229248e-01
1.330000000000000000e+02,3.226323053240776062e-02,1.428535580635070801e-01
1.340000000000000000e+02,3.190437704324722290e-02,1.388177871704101562e-01
1.350000000000000000e+02,3.147139400243759155e-02,1.369162946939468384e-01
1.360000000000000000e+02,3.118366561830043793e-02,1.383825540542602539e-01
1.370000000000000000e+02,3.045892715454101562e-02,1.363031566143035889e-01
1.380000000000000000e+02,3.045431338250637054e-02,1.388610899448394775e-01
1.390000000000000000e+02,3.033029474318027496e-02,1.417267620563507080e-01
1.400000000000000000e+02,2.969626151025295258e-02,1.346548497676849365e-01
1.410000000000000000e+02,2.919537760317325592e-02,1.337357461452484131e-01
1.420000000000000000e+02,2.921854332089424133e-02,1.361732929944992065e-01
1.430000000000000000e+02,2.879318967461585999e-02,1.358684599399566650e-01
