station_rank,grid_id,grid_row,grid_col,fast_chargers,slow_chargers,estimated_power_kw,estimated_power_mw,remaining_capacity_mw,grid_utilisation_ratio,grid_overload_mw,demand_score,land_cost_proxy,construction_suitability,grid_capacity_proxy,grid_overload_risk
1,38217,149,73,4,4,688.0,0.688,2.8817193508148193,0.23874635807455186,0.0,0.8140737414360046,0.16249999403953552,0.6050000190734863,0.9545073509216309,0.049590833485126495
2,42868,167,116,5,8,926.0,0.926,2.486137628555298,0.37246530094076147,0.0,0.6789289712905884,0.5225000381469727,0.7075000405311584,0.8023605942726135,0.21287232637405396
3,28294,110,134,7,9,1248.0,1.248,1.9393579959869385,0.6435119264119636,0.0,0.9513880014419556,1.0,1.0,0.5920608639717102,0.4086431860923767
4,32615,127,103,5,13,1036.0,1.036,1.775517225265503,0.5834919454780739,0.0,0.8977461457252502,0.9674999713897705,1.0,0.5290451645851135,0.4450041651725769
5,33432,130,152,2,15,630.0,0.63,0.8205393552780151,0.7677876703263592,0.0,0.8512405753135681,1.0,1.0,0.16174596548080444,0.8525269031524658
6,46243,180,163,4,6,732.0,0.732,1.5360031127929688,0.47656153422044734,0.0,0.9350597858428955,0.7050000429153442,0.987500011920929,0.4369242489337921,0.5730569958686829
7,44883,175,83,6,13,1186.0,1.186,2.7323057651519775,0.4340656214711869,0.0,0.7389837503433228,0.22750000655651093,0.6950000524520874,0.897040605545044,0.10621678084135056
8,40092,156,156,4,2,644.0,0.644,0.9535586833953857,0.6753648319858783,0.0,0.8505876064300537,0.7050000429153442,0.987500011920929,0.21290715038776398,0.8160547614097595
9,44736,174,192,2,8,476.0,0.476,2.411423921585083,0.19739374555391925,0.0,0.7525786757469177,0.8374999761581421,0.7150000333786011,0.7736244797706604,0.256160706281662
10,50244,196,68,7,4,1138.0,1.138,2.1443324089050293,0.5307013013813013,0.0,0.8578233122825623,1.0,1.0,0.6708970665931702,0.3196873664855957
11,36229,141,133,6,9,1098.0,1.098,2.0682034492492676,0.5308955462764365,0.0,0.7476174235343933,1.0,0.6975000500679016,0.641616702079773,0.3946727216243744
12,21344,83,96,5,1,772.0,0.772,2.885385274887085,0.2675552574275236,0.0,0.8004035949707031,0.9674999713897705,0.6975000500679016,0.9559172987937927,0.04803648963570595
13,14644,57,52,8,5,1310.0,1.31,2.869643449783325,0.45650270597168185,0.0,0.8006473779678345,1.0,0.6975000500679016,0.9498628377914429,0.05375400185585022
14,29101,113,173,5,6,882.0,0.882,0.4830985367298126,1.8257144928867484,0.4713662437796593,0.9758414030075073,1.0,1.0,0.031960975378751755,0.9705944657325745
15,35471,138,143,4,10,820.0,0.82,1.096229910850525,0.7480182686894502,0.0,0.8127455115318298,1.0,1.0,0.26778075098991394,0.7520714402198792
16,50580,197,148,4,5,710.0,0.71,2.574827194213867,0.27574666043434165,0.0,0.9205617308616638,1.0,1.0,0.8364719748497009,0.18016302585601807
17,63001,246,25,4,7,754.0,0.754,2.8568623065948486,0.26392591559608897,0.0,0.9057883024215698,1.0,0.6975000500679016,0.9449470639228821,0.060914456844329834
18,13090,51,34,7,10,1270.0,1.27,2.9135522842407227,0.4358940139394013,0.0,0.5551437139511108,0.22750000655651093,0.39250001311302185,0.966750979423523,0.03411378338932991
19,26274,102,162,6,7,1054.0,1.054,1.4541155099868774,0.7248392529762039,0.0,0.9515568614006042,1.0,1.0,0.4054289758205414,0.5938758850097656
20,29904,116,208,4,8,776.0,0.776,1.30156409740448,0.5962057508711741,0.0,0.7122313976287842,0.9674999713897705,1.0,0.34675535559654236,0.6561788320541382
