rank,grid_row,grid_col,demand_score
1,165,154,0.6800852
2,113,173,0.6636708
3,145,152,0.65972596
4,152,166,0.65833086
5,152,179,0.650066
6,159,145,0.6477274
7,131,125,0.6476957
8,102,162,0.6471708
9,110,134,0.64705604
10,135,168,0.6458499
11,152,175,0.6432291
12,158,112,0.64173394
13,149,189,0.6415536
14,193,155,0.6389117
15,180,163,0.63596195
16,173,171,0.63325644
17,167,143,0.62890834
18,97,163,0.6274769
19,128,184,0.62672645
20,178,162,0.6264617
21,197,148,0.6261113
22,125,199,0.62522966
23,162,158,0.6251874
24,124,167,0.624743
25,124,132,0.6244765
26,154,201,0.6243758
27,196,90,0.6240226
28,151,113,0.62392694
29,164,149,0.6238207
30,173,176,0.623702
31,109,94,0.6235804
32,174,143,0.6231487
33,182,61,0.6217801
34,155,132,0.62117124
35,163,124,0.621067
36,163,155,0.62085104
37,71,68,0.61893296
38,161,186,0.618524
39,107,132,0.6174487
40,139,144,0.61676186
41,246,25,0.6160736
42,144,159,0.6157078
43,155,181,0.61517125
44,119,86,0.6141341
45,162,188,0.6139124
46,127,112,0.6135775
47,170,170,0.6112618
48,116,73,0.61120296
49,133,161,0.61081576
50,122,84,0.6108095
